train_number,collection_timestamp,current_station_code,next_station_code,current_delay,predicted_delay_change,probability_delay_worsening,risk_score,movement_state,distance_from_origin_km,route_sequence
12809,2026-08-21T16:12:20.871847+00:00,JDDA,SKT,130,0.1255,0.5449,0.7008,MOVING,1328.16,215.0
12809,2026-08-21T16:13:52.328842+00:00,JDDA,SKT,130,0.107,0.5819,0.7144,MOVING,1329.31,215.0
12809,2026-08-21T16:16:00.433479+00:00,SKT,KHS,129,0.1641,0.7188,0.7727,MOVING,1330.4,216.0
12809,2026-08-21T16:18:08.662874+00:00,SKT,KHS,131,0.1126,0.7201,0.7701,STATIONARY,1330.4,216.0
12809,2026-08-21T16:20:16.721645+00:00,SKT,KHS,133,0.0563,0.7016,0.7591,MOVING,1330.4,216.0
12809,2026-08-21T16:22:24.771296+00:00,SKT,KHS,133,0.0754,0.5528,0.7008,MOVING,1332.11,216.0
12809,2026-08-21T16:25:15.656229+00:00,SKT,KHS,133,0.1264,0.6542,0.7446,MOVING,1336.86,216.0
95011,2026-08-21T16:13:15.706490+00:00,DWJN,DI,7,0.4393,0.6361,0.4882,UNKNOWN,42.2,26.0
95011,2026-08-21T16:14:10.519331+00:00,DWJN,DI,8,0.0716,0.5693,0.4505,STATIONARY,42.2,26.0
95011,2026-08-21T16:16:18.711346+00:00,DI,KYN,5,0.5956,0.5372,0.4344,MOVING,46.3,28.0
95011,2026-08-21T16:18:26.827736+00:00,THK,KYN,5,0.0903,0.4415,0.3656,MOVING,47.7,29.0
95011,2026-08-21T16:20:34.919996+00:00,THK,KYN,5,0.0454,0.446,0.3646,STATIONARY,47.7,29.0
95135,2026-08-21T16:11:56.404852+00:00,PR,DR,3,0.5228,0.64,0.4479,UNKNOWN,8.0,9.0
95135,2026-08-21T16:15:36.012976+00:00,PR,DR,5,0.1022,0.5497,0.4096,STATIONARY,8.0,9.0
95135,2026-08-21T16:17:44.031335+00:00,PR,DR,3,0.4928,0.605,0.4322,STATIONARY,8.0,9.0
95135,2026-08-21T16:19:52.208459+00:00,DR,CLA,9,-0.587,0.5394,0.4101,MOVING,9.0,10.0
95135,2026-08-21T16:22:00.471348+00:00,DR,CLA,11,0.092,0.5527,0.4802,MOVING,9.0,10.0
95135,2026-08-21T16:24:26.734543+00:00,MTN,CLA,13,0.0791,0.5328,0.4947,MOVING,10.4,11.0
95135,2026-08-21T16:28:06.333513+00:00,SION,CLA,13,0.0982,0.5438,0.5003,MOVING,12.9,12.0
95135,2026-08-21T16:31:27.641352+00:00,CLA,GC,14,0.0791,0.4799,0.4852,MOVING,15.6,13.0
95333,2026-08-21T16:13:03.631743+00:00,CRNM,MLND,18,0.5495,0.5694,0.5963,UNKNOWN,30.6,21.0
95333,2026-08-21T16:14:29.038523+00:00,MLND,TNA,18,0.06,0.46,0.5228,MOVING,30.7,22.0
95333,2026-08-21T16:16:37.104254+00:00,TNA,DIVA,16,0.3419,0.5336,0.5463,MOVING,33.3,23.0
95333,2026-08-21T16:18:45.267270+00:00,TNA,DIVA,15,0.2504,0.587,0.5504,STATIONARY,33.3,23.0
95333,2026-08-21T16:20:53.225673+00:00,KLVC,DIVA,18,0.1169,0.491,0.5387,MOVING,,
95333,2026-08-21T16:23:01.514843+00:00,MBQ,DIVA,18,0.1763,0.5151,0.552,MOVING,,
95333,2026-08-21T16:26:16.538166+00:00,MBQ,DIVA,18,0.1763,0.519,0.5536,STATIONARY,,
95421,2026-08-21T16:13:09.602538+00:00,DWJN,DI,4,0.4479,0.6071,0.442,UNKNOWN,42.4,26.0
95421,2026-08-21T16:14:04.490466+00:00,DWJN,DI,3,0.1686,0.5856,0.4048,STATIONARY,42.4,26.0
95421,2026-08-21T16:16:12.626735+00:00,DDCL,DI,6,0.0712,0.5085,0.4028,MOVING,45.3,27.0
95421,2026-08-21T16:18:20.718178+00:00,DI,KYN,6,0.0663,0.4999,0.3991,MOVING,46.3,28.0
95421,2026-08-21T16:20:28.821142+00:00,DI,KYN,6,0.0454,0.5131,0.4031,STATIONARY,46.3,28.0
95421,2026-08-21T16:22:36.838799+00:00,THK,KYN,3,0.8117,0.4489,0.3877,MOVING,47.8,29.0
95421,2026-08-21T16:25:27.737390+00:00,KYNX,KYN,4,0.0704,0.5108,0.3804,MOVING,50.6,30.0
95421,2026-08-21T16:29:07.374234+00:00,KYN,SHAD,2,0.4488,0.567,0.4027,MOVING,51.4,31.0
96223,2026-08-21T16:11:50.291829+00:00,BY,CHG,2,0.6475,0.687,0.4622,UNKNOWN,4.2,5.0
96223,2026-08-21T16:20:04.509217+00:00,PR,DR,6,0.0814,0.5091,0.4037,MOVING,8.0,9.0
96223,2026-08-21T16:22:12.520120+00:00,PR,DR,6,0.065,0.5315,0.4117,STATIONARY,8.0,9.0
96223,2026-08-21T16:32:04.393708+00:00,SION,CLA,5,-0.0205,0.4502,0.3621,MOVING,12.9,12.0
96333,2026-08-21T16:13:21.826164+00:00,VK,KJRD,26,0.4602,0.5279,0.6678,UNKNOWN,23.1,17.0
96333,2026-08-21T16:14:47.237653+00:00,VK,KJRD,26,0.0721,0.458,0.616,STATIONARY,23.1,17.0
96333,2026-08-21T16:16:55.331338+00:00,VK,KJRD,26,0.0769,0.4602,0.6172,STATIONARY,23.1,17.0
96333,2026-08-21T16:19:03.587317+00:00,BND,NHU,26,0.0915,0.497,0.6329,MOVING,26.8,19.0
96333,2026-08-21T16:21:11.650655+00:00,BND,NHU,26,0.0561,0.4893,0.6276,STATIONARY,26.8,19.0
96333,2026-08-21T16:23:19.689408+00:00,NHU,MLND,26,0.0561,0.4591,0.6155,MOVING,28.5,20.0
96411,2026-08-21T16:11:44.209025+00:00,MZNC,BY,2,0.6475,0.7184,0.4748,UNKNOWN,3.6,4.0
96411,2026-08-21T16:20:10.516439+00:00,CRD,PR,4,0.09,0.5669,0.404,MOVING,6.2,7.0
96411,2026-08-21T16:22:18.707531+00:00,CRD,PR,4,0.1091,0.6013,0.419,STATIONARY,6.2,7.0
96411,2026-08-21T16:28:24.641659+00:00,MTN,SION,5,0.0685,0.5337,0.4011,MOVING,10.4,11.0
96411,2026-08-21T16:32:10.349986+00:00,MTN,SION,5,0.0876,0.5389,0.4044,STATIONARY,10.4,11.0
96519,2026-08-21T16:26:22.644573+00:00,KJRD,BND,17,0.0698,0.502,0.5285,MOVING,25.0,18.0
96643,2026-08-21T16:13:34.002084+00:00,BND,NHU,33,0.3814,0.5729,0.7277,UNKNOWN,26.8,19.0
96643,2026-08-21T16:14:41.147281+00:00,VVH,GC,40,-6.2903,0.4718,0.5392,MOVING,18.1,15.0
96643,2026-08-21T16:21:05.436423+00:00,TNA,KLVA,21,2.284,0.5479,0.691,MOVING,33.3,23.0
96643,2026-08-21T16:23:13.541172+00:00,TNA,KLVA,21,-0.1376,0.5344,0.5752,STATIONARY,33.3,23.0
96645,2026-08-21T16:12:02.495905+00:00,PRLW,PR,4,0.6685,0.6068,0.4547,UNKNOWN,7.4,8.0
96645,2026-08-21T16:15:42.106864+00:00,PR,DR,9,0.1572,0.5222,0.4487,MOVING,8.0,9.0
96645,2026-08-21T16:17:50.329801+00:00,PR,DR,9,0.261,0.5529,0.4674,STATIONARY,8.0,9.0
96645,2026-08-21T16:19:58.329378+00:00,DR,MTN,10,0.1679,0.4878,0.4473,MOVING,9.0,10.0
96645,2026-08-21T16:22:06.549824+00:00,MTN,SION,9,0.2805,0.5365,0.462,MOVING,10.4,11.0
96645,2026-08-21T16:28:12.490881+00:00,CLA,VVH,8,0.239,0.5413,0.4497,MOVING,15.6,13.0
97167,2026-08-21T16:13:40.174356+00:00,KLVA,MBQ,12,0.4393,0.6618,0.5567,UNKNOWN,35.7,24.0
97167,2026-08-21T16:14:16.623204+00:00,KLVA,MBQ,13,0.0716,0.588,0.5163,STATIONARY,35.7,24.0
97167,2026-08-21T16:18:33.012597+00:00,MBQ,DIVA,12,0.2195,0.6195,0.5265,MOVING,40.2,26.0
97167,2026-08-21T16:20:41.082999+00:00,MBQ,DIVA,13,0.1217,0.5723,0.5132,STATIONARY,40.2,26.0
97167,2026-08-21T16:26:04.430658+00:00,DIVA,KOPR,15,0.0724,0.5669,0.5313,MOVING,42.7,27.0
97171,2026-08-21T16:12:39.094241+00:00,CLAS,VVH,7,0.4897,0.6097,0.4805,UNKNOWN,17.3,14.0
97171,2026-08-21T16:15:17.699666+00:00,GC,VK,10,0.1103,0.5174,0.4555,MOVING,19.4,16.0
97171,2026-08-21T16:17:25.806522+00:00,GC,VK,13,0.0894,0.5058,0.4846,STATIONARY,19.4,16.0
97171,2026-08-21T16:19:33.923354+00:00,GC,VK,13,0.0972,0.4342,0.4564,MOVING,19.4,16.0
97171,2026-08-21T16:21:42.114663+00:00,GC,VK,13,0.1018,0.4448,0.461,MOVING,19.4,16.0
97171,2026-08-21T16:24:08.429695+00:00,KJRD,BND,11,0.2946,0.5524,0.4926,MOVING,25.0,18.0
97171,2026-08-21T16:27:29.795178+00:00,KJRD,BND,15,0.0953,0.5007,0.5062,STATIONARY,25.0,18.0
97171,2026-08-21T16:31:09.342374+00:00,BND,NHU,13,0.4165,0.5301,0.5144,MOVING,26.8,19.0
97259,2026-08-21T16:16:06.517483+00:00,MBQ,DIVA,12,0.1754,0.5958,0.5142,MOVING,40.2,26.0
97259,2026-08-21T16:29:01.363086+00:00,DDCL,DI,17,-0.8694,0.551,0.4926,MOVING,47.5,30.0
97261,2026-08-21T16:12:57.401869+00:00,GC,VK,16,0.4543,0.5999,0.5795,UNKNOWN,19.4,16.0
97261,2026-08-21T16:27:23.684625+00:00,CRNM,MLND,18,-1.1495,0.5241,0.4798,MOVING,29.6,21.0
97261,2026-08-21T16:31:03.340306+00:00,MLND,TNA,19,0.0603,0.3967,0.5091,MOVING,31.85,22.0
97263,2026-08-21T16:12:14.817078+00:00,CLA,VVH,0,0.863,0.616,0.4222,UNKNOWN,15.6,13.0
97263,2026-08-21T16:15:23.800731+00:00,CLA,VVH,0,0.6043,0.5583,0.385,STATIONARY,15.6,13.0
97419,2026-08-21T16:13:27.938534+00:00,VK,KJRD,31,0.4602,0.5279,0.7144,UNKNOWN,23.1,17.0
97419,2026-08-21T16:14:53.371140+00:00,VK,KJRD,31,0.0721,0.458,0.6627,STATIONARY,23.1,17.0
97419,2026-08-21T16:17:01.467478+00:00,VK,KJRD,31,0.0769,0.4602,0.6639,STATIONARY,23.1,17.0
97421,2026-08-21T16:16:31.071465+00:00,BND,NHU,10,0.0907,0.5241,0.457,MOVING,26.8,19.0
97423,2026-08-21T16:17:07.506882+00:00,GC,VK,8,-0.6381,0.533,0.393,MOVING,19.4,16.0
97423,2026-08-21T16:19:15.617514+00:00,GC,VK,8,-0.6737,0.5181,0.385,STATIONARY,19.4,16.0
97423,2026-08-21T16:21:23.812088+00:00,MLND,TNA,0,2.0724,0.5111,0.4265,MOVING,30.7,22.0
97423,2026-08-21T16:23:31.832924+00:00,MLND,TNA,0,-0.404,0.5096,0.3039,STATIONARY,30.7,22.0
12809,2026-08-21T16:29:16.947275+00:00,JDI,KHS,132,0.4377,0.6849,0.7759,UNKNOWN,1337.9,217.0
12809,2026-08-21T16:32:19.871623+00:00,JDI,KHS,132,0.1264,0.6321,0.7357,MOVING,1342.73,217.0
12809,2026-08-21T16:33:14.764603+00:00,JDI,KHS,132,0.1407,0.6787,0.7553,STATIONARY,1342.73,217.0
12809,2026-08-21T16:34:08.002921+00:00,JDI,KHS,136,0.07,0.5599,0.7034,MOVING,1342.11,217.0
12809,2026-08-21T16:35:08.150532+00:00,JDI,KHS,135,0.0929,0.5995,0.7206,MOVING,1344.12,217.0
12809,2026-08-21T16:36:01.744459+00:00,JDI,KHS,132,0.9019,0.7125,0.8128,STATIONARY,1344.12,217.0
12809,2026-08-21T16:36:49.631789+00:00,JDI,KHS,135,0.07,0.6312,0.7319,STATIONARY,1344.12,217.0
12809,2026-08-21T16:37:49.626709+00:00,KHS,RIG,134,0.1114,0.7028,0.7631,MOVING,1345.9,218.0
12809,2026-08-21T16:38:49.628866+00:00,KHS,RIG,134,0.0891,0.7561,0.783,MOVING,1345.9,218.0
12809,2026-08-21T16:39:49.672113+00:00,KHS,RIG,135,0.0601,0.7664,0.7853,MOVING,1345.9,218.0
12809,2026-08-21T16:40:49.740567+00:00,KHS,RIG,136,0.0601,0.7563,0.7813,MOVING,1345.9,218.0
12809,2026-08-21T16:41:49.634743+00:00,KHS,RIG,137,0.07,0.7508,0.7797,STATIONARY,1345.9,218.0
12809,2026-08-21T16:42:49.664519+00:00,KHS,RIG,138,0.0695,0.7518,0.78,MOVING,1345.9,218.0
12809,2026-08-21T16:43:49.632022+00:00,KHS,RIG,137,0.1114,0.606,0.7243,MOVING,1347.92,218.0
12809,2026-08-21T16:44:49.738507+00:00,KHS,RIG,137,0.0705,0.609,0.723,MOVING,1347.96,218.0
12809,2026-08-21T16:45:49.750610+00:00,KHS,RIG,137,0.0891,0.6277,0.7316,MOVING,1349.03,218.0
12809,2026-08-21T16:46:49.728616+00:00,KHS,RIG,137,0.1247,0.6321,0.7356,MOVING,1351.01,218.0
12809,2026-08-21T16:47:49.659775+00:00,KHS,RIG,137,0.1247,0.6689,0.7503,MOVING,1351.54,218.0
12809,2026-08-21T16:48:49.656323+00:00,ROB,RIG,137,0.0891,0.6012,0.7211,MOVING,1352.71,219.0
12809,2026-08-21T16:49:49.741295+00:00,ROB,RIG,137,0.0705,0.6145,0.7252,MOVING,1352.31,219.0
95135,2026-08-21T16:28:28.030715+00:00,SION,CLA,14,0.446,0.5805,0.548,UNKNOWN,12.9,12.0
95135,2026-08-21T16:32:01.543071+00:00,CLA,GC,14,0.0982,0.4888,0.49,MOVING,15.6,13.0
95135,2026-08-21T16:33:31.291972+00:00,CLA,GC,14,0.0579,0.4873,0.4869,STATIONARY,15.6,13.0
95135,2026-08-21T16:34:31.296892+00:00,CLAS,GC,14,0.0765,0.4993,0.4928,MOVING,17.2,14.0
95135,2026-08-21T16:35:31.321475+00:00,GC,MLND,13,0.0989,0.5231,0.4921,MOVING,19.4,16.0
95135,2026-08-21T16:36:31.301898+00:00,GC,MLND,14,0.0574,0.4973,0.4908,STATIONARY,19.4,16.0
95135,2026-08-21T16:37:31.296882+00:00,GC,MLND,14,0.0765,0.5101,0.4971,STATIONARY,19.4,16.0
95135,2026-08-21T16:38:31.300484+00:00,GC,MLND,14,0.0765,0.5101,0.4971,STATIONARY,19.4,16.0
95135,2026-08-21T16:39:31.308362+00:00,GC,MLND,14,0.0698,0.4227,0.4618,MOVING,19.4,16.0
95135,2026-08-21T16:40:31.300670+00:00,GC,MLND,14,0.0698,0.4185,0.4601,STATIONARY,19.4,16.0
95135,2026-08-21T16:41:31.429475+00:00,BND,MLND,14,0.0512,0.4362,0.466,MOVING,26.8,19.0
95135,2026-08-21T16:42:31.427621+00:00,BND,MLND,12,0.4109,0.526,0.5007,STATIONARY,26.8,19.0
95135,2026-08-21T16:43:31.312554+00:00,CRNM,MLND,11,0.0921,0.452,0.4399,MOVING,29.6,21.0
95135,2026-08-21T16:44:31.292584+00:00,CRNM,MLND,12,0.0507,0.4491,0.4478,STATIONARY,29.6,21.0
95135,2026-08-21T16:45:31.431250+00:00,CRNM,MLND,12,0.0512,0.4534,0.4496,STATIONARY,29.6,21.0
95135,2026-08-21T16:46:31.336928+00:00,MLND,TNA,12,0.0577,0.4344,0.4423,MOVING,30.7,22.0
95135,2026-08-21T16:47:31.301774+00:00,TNA,DI,10,0.25,0.4879,0.4524,MOVING,33.3,23.0
95135,2026-08-21T16:48:31.305359+00:00,TNA,DI,10,0.0698,0.485,0.44,STATIONARY,33.3,23.0
95135,2026-08-21T16:49:31.307894+00:00,TNA,DI,12,0.0507,0.4755,0.4584,MOVING,33.3,23.0
95333,2026-08-21T16:30:17.908184+00:00,DIVA,DI,16,0.4185,0.6306,0.5897,UNKNOWN,42.7,25.0
95333,2026-08-21T16:32:13.811881+00:00,DDCL,DI,17,0.0321,0.5317,0.538,MOVING,46.9,27.0
95333,2026-08-21T16:33:08.631399+00:00,DDCL,DI,18,0.0507,0.5439,0.5557,STATIONARY,46.9,27.0
95333,2026-08-21T16:34:01.716623+00:00,DDCL,DI,18,0.0859,0.5652,0.5664,STATIONARY,46.9,27.0
95333,2026-08-21T16:35:01.839173+00:00,THK,KYN,16,0.2314,0.5246,0.5359,MOVING,49.4,29.0
95333,2026-08-21T16:35:43.416994+00:00,THK,KYN,16,0.0859,0.5732,0.5463,STATIONARY,49.4,29.0
95333,2026-08-21T16:36:43.495345+00:00,THK,KYN,17,0.0321,0.4075,0.4883,MOVING,49.4,29.0
95333,2026-08-21T16:37:43.519481+00:00,THK,KYN,17,0.0698,0.4183,0.495,STATIONARY,49.4,29.0
95333,2026-08-21T16:38:43.505810+00:00,THK,KYN,17,0.0698,0.4173,0.4946,MOVING,49.4,29.0
95333,2026-08-21T16:39:43.495621+00:00,THK,KYN,17,0.0698,0.4183,0.495,STATIONARY,49.4,29.0
95333,2026-08-21T16:40:43.496198+00:00,THK,KYN,17,0.0698,0.4103,0.4918,STATIONARY,49.4,29.0
95333,2026-08-21T16:41:43.518229+00:00,THK,KYN,17,0.0698,0.4234,0.4971,MOVING,49.4,29.0
95333,2026-08-21T16:42:43.515778+00:00,KYNX,KYN,19,0.0507,0.4838,0.5433,MOVING,52.3,30.0
95333,2026-08-21T16:43:43.669720+00:00,KYNX,KYN,20,0.0321,0.4874,0.5553,STATIONARY,52.3,30.0
95333,2026-08-21T16:44:43.573652+00:00,KYNX,KYN,20,0.0698,0.4817,0.5554,STATIONARY,52.3,30.0
95333,2026-08-21T16:45:43.507973+00:00,KYN,VLDI,19,0.0921,0.499,0.552,MOVING,53.6,31.0
95333,2026-08-21T16:46:43.510784+00:00,KYN,VLDI,21,0.0507,0.4807,0.5655,STATIONARY,53.6,31.0
95333,2026-08-21T16:47:43.703352+00:00,KYN,VLDI,21,0.0512,0.4826,0.5662,STATIONARY,53.6,31.0
95333,2026-08-21T16:48:43.497432+00:00,KYN,VLDI,21,0.0698,0.4943,0.5721,STATIONARY,53.6,31.0
97179,2026-08-21T16:44:25.210579+00:00,PR,DR,7,0.0894,0.4774,0.4032,MOVING,8.0,9.0
97179,2026-08-21T16:45:25.313262+00:00,PR,DR,7,0.0602,0.4738,0.4,STATIONARY,8.0,9.0
97179,2026-08-21T16:46:25.203649+00:00,PR,DR,7,0.0894,0.4781,0.4035,STATIONARY,8.0,9.0
97179,2026-08-21T16:47:25.204732+00:00,DR,MTN,7,0.0894,0.4425,0.3893,MOVING,9.0,10.0
97179,2026-08-21T16:48:25.213161+00:00,DR,MTN,7,0.0894,0.4494,0.392,STATIONARY,9.0,10.0
97179,2026-08-21T16:49:25.199014+00:00,DR,MTN,9,0.0574,0.4399,0.4095,MOVING,9.0,10.0
97263,2026-08-21T16:37:37.447817+00:00,BND,NHU,9,0.2043,0.429,0.4143,MOVING,27.93,19.0
97263,2026-08-21T16:38:37.485298+00:00,BND,NHU,9,0.1944,0.4371,0.417,STATIONARY,27.93,19.0
97263,2026-08-21T16:39:37.409853+00:00,MLND,TNA,6,1.0122,0.4629,0.4385,MOVING,30.7,22.0
97263,2026-08-21T16:40:37.482688+00:00,BND,NHU,3,1.0528,0.5477,0.4394,MOVING,26.8,19.0
97263,2026-08-21T16:41:37.404817+00:00,BND,NHU,14,-3.578,0.4714,0.3587,STATIONARY,26.8,19.0
97263,2026-08-21T16:42:37.434559+00:00,BND,NHU,14,0.1413,0.4783,0.4885,STATIONARY,26.8,19.0
97263,2026-08-21T16:43:37.515638+00:00,BND,NHU,15,0.1128,0.4582,0.4903,STATIONARY,26.8,19.0
97263,2026-08-21T16:44:37.408665+00:00,BND,NHU,15,0.1418,0.4481,0.4881,STATIONARY,26.8,19.0
97263,2026-08-21T16:45:37.532744+00:00,BND,NHU,15,0.1319,0.4437,0.4857,STATIONARY,26.8,19.0
97263,2026-08-21T16:46:37.500900+00:00,CRNM,MLND,13,0.322,0.4352,0.4707,MOVING,29.6,21.0
97263,2026-08-21T16:47:37.411199+00:00,CRNM,MLND,16,0.1227,0.4271,0.4902,STATIONARY,29.6,21.0
97263,2026-08-21T16:48:37.429818+00:00,CRNM,MLND,16,0.1418,0.4397,0.4964,STATIONARY,29.6,21.0
97263,2026-08-21T16:49:37.446013+00:00,CRNM,MLND,19,0.1227,0.427,0.5251,STATIONARY,29.6,21.0
96207,2026-08-22T09:01:35.148688+00:00,CRD,PR,4,0.0422,0.4354,0.3485,MOVING,6.2,7.0
96207,2026-08-22T09:02:35.149773+00:00,PRLW,PR,3,0.0646,0.4056,0.3263,MOVING,7.4,8.0
96207,2026-08-22T09:03:35.182580+00:00,PRLW,PR,3,0.031,0.3999,0.3219,STATIONARY,7.4,8.0
96207,2026-08-22T09:04:35.349135+00:00,PRLW,PR,3,0.013,0.4014,0.3214,STATIONARY,7.4,8.0
96207,2026-08-22T09:05:35.150232+00:00,PRLW,PR,3,0.0422,0.4222,0.3315,STATIONARY,7.4,8.0
96207,2026-08-22T09:06:35.145919+00:00,DR,MTN,3,0.0293,0.3771,0.3127,MOVING,9.0,10.0
